complaint_text,category,urgency,duration,affected_count,source
canopy leaks during rains,Infrastructure,High,From Last Month,20+,synthetic
senior ne intimidate kiya,Ragging,High,From Last Month,20+,synthetic
"Sir ne front bench pe baithe students ko bola ki 'back bench pe jaao, aap log toh waise bhi kuch nahi karoge.' This is demoralizing and unprofessional.",Ragging,High,From Last Month,2 to 5,synthetic
There's no liquid soap or hand wash in any of the washrooms. Just a random bottle with a hole in the cap. Basic hygiene facility provide karo please.,Infrastructure,High,From last week,5 to 20,synthetic
college bus facility nahi hai,Other,High,More than a month,2 to 5,synthetic
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Mess/Food,Low,More than a month,20+,synthetic
Unclean water purifiers and toilets,Cleanliness,Medium,More than a month,20+,real
Mid semester examination ,Academics,High,More than a month,20+,real
Isa comprising of attendance ,Academics,High,More than a month,20+,real
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,High,From Last Month,20+,synthetic
food mein oil bahut zyada hai,Mess/Food,High,More than a month,2 to 5,synthetic
"Food quality in the mess is honestly below average. Paneer ki gravy watery hai, sabji mein koi taste nahi, aur roz wahi same menu. Variety laao please.",Mess/Food,Medium,More than a month,5 to 20,synthetic
"Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Other,Low,More than a month,20+,synthetic
Libraries AC is not working ,Technical Issues,Medium,More than a month,5 to 20,real
Unavailability of AC in library,Technical Issues,High,More than a month,Only me,real
faraway students ke liye koi support nahi,Other,Medium,More than a month,Only me,synthetic
"Professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. Double standard bahut frustrating hai.",Ragging,High,More than a month,2 to 5,synthetic
OHU students ke liye food affordable nahi,Mess/Food,High,More than a month,Only me,synthetic
"A faculty member shouts at students who ask doubts. Because of this, students are afraid to ask questions in class. Terrible teaching environment.",Ragging,High,From Last Month,Only me,synthetic
building mein water leakage hai,Infrastructure,Medium,More than a month,20+,synthetic
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,High,More than a month,5 to 20,synthetic
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,High,From Last Month,20+,synthetic
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,High,More than a month,5 to 20,synthetic
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,Medium,More than a month,20+,synthetic
Hostel corridor cleaning happens only on weekends. 5 days mein corridor itna ganda ho jaata hai ki walk karna uncomfortable ho jata hai.,Cleanliness,Medium,From Last Month,5 to 20,synthetic
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,Low,More than a month,5 to 20,synthetic
cgpa pe bohot pressure hai,Academics,Medium,More than a month,20+,synthetic
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,Medium,More than a month,20+,synthetic
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,Medium,More than a month,20+,synthetic
"Sir ne attendance ke naam pe bohot threatening language use ki. Said he'll fail us if we don't comply. This is mental harassment, not discipline.",Ragging,High,More than a month,2 to 5,synthetic
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,From last week,2 to 5,synthetic
Monday tests again  ,Academics,Medium,Today,2 to 5,synthetic
Monday test ,Academics,High,More than a month,20+,real
Some people  constantly spams publicity a survey msg which distracts other people from reading important messages 🤧🤧,Other,Medium,Today,2 to 5,real
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,High,More than a month,5 to 20,synthetic
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Technical Issues,Medium,From Last Month,20+,synthetic
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,High,More than a month,5 to 20,synthetic
"Students from North India, South India and other regions face social isolation because of language and cultural barriers. No integration programs.",Other,Medium,From Last Month,20+,synthetic
"PC mein virus hai shayad, too slow",Technical Issues,High,More than a month,5 to 20,synthetic
"Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Other,Medium,More than a month,20+,synthetic
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Mess/Food,Medium,More than a month,20+,synthetic
The cleaning staff doesn't clean under benches in the canteen. Food particles accumulate there attracting cockroaches and ants.,Cleanliness,Medium,More than a month,20+,synthetic
"Professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. Double standard bahut frustrating hai.",Ragging,High,From Last Month,2 to 5,synthetic
"Lectures timings are too hectic 
9 to 5 45 ",Academics,High,More than a month,5 to 20,real
sir class mein sarcasm karta hai unnecessarily,Ragging,High,From Last Month,2 to 5,synthetic
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,Low,More than a month,2 to 5,synthetic
"As an OHU STUDENT
Papad kaa shortage yawrrrr com'onnn
Low quality food
Bad taste
Looks like alot of milawat
Chapati is too thin
Misal pav's pav is not good quality
Monday ko jo gravy thii, it was stinky chawli ki sabji mee 
",Mess/Food,High,From Last Month,Only me,real
Monday test,Academics,Medium,More than a month,20+,real
"Rugved Deolekar sir ne sirf ID card nahi hone pe itna bura behave kiya. Loudly scolded in front of everyone, used rude language. That is not how you speak to students.",Ragging,High,More than a month,Only me,synthetic
"The mess management really needs to step up. Food quality has been consistently bad for over a month now. No nutrition, excess oil, same boring menu every day. For students who stay far and depend entirely on college food, this is a serious problem. We're paying full fees for this college  the least they can do is provide edible food. The seating arrangement is also pathetic. During lunch break it feels like a fish market. Please take this seriously.",Mess/Food,High,More than a month,20+,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,Medium,More than a month,20+,synthetic
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,Medium,From Last Month,20+,synthetic
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,Medium,More than a month,5 to 20,synthetic
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,High,More than a month,Only me,synthetic
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,Low,More than a month,20+,synthetic
projector nahi chal raha lab mein,Technical Issues,Medium,From last week,5 to 20,synthetic
sir ne personal comment kiya,Ragging,Low,More than a month,20+,synthetic
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Low,More than a month,20+,synthetic
60 rupaye mein jo milta hai woh 30 rupaye ka bhi nahi lagta. Price kam karo ya quality improve karo. Dono sath nahi chal sakta aise.,Mess/Food,High,From last week,20+,synthetic
Canteen mein kabhi kabhi food cover nahi hota  flies around kar rahi hai aur staff ko koi difference nahi padta. Health hazard hai yeh.,Mess/Food,High,More than a month,5 to 20,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,Low,More than a month,2 to 5,synthetic
"The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside  which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser  just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Infrastructure,High,More than a month,20+,synthetic
broken benches in classroom,Infrastructure,Medium,More than a month,5 to 20,synthetic
syllabus outdated hai bhai,Academics,High,More than a month,5 to 20,synthetic
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,Medium,From last week,2 to 5,synthetic
The college network blocks many websites including some coding platforms which we need for assignments. Please whitelist educational sites.,Technical Issues,Medium,More than a month,20+,synthetic
net bahut slow hai,Technical Issues,High,More than a month,20+,synthetic
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,Low,From Last Month,20+,synthetic
food mein oil bahut zyada hai,Mess/Food,Medium,From Last Month,2 to 5,synthetic
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Medium,From last week,5 to 20,synthetic
A faculty member consistently ignores questions from certain students while responding to others. Clear bias and discrimination visible in classroom.,Ragging,High,From last week,20+,synthetic
Canteen ki seating capacity MUST be increased. 200+ students aate hai ek saath lunch pe aur baith ne ki jagah 50 logon ke liye hai. Simple math problem.,Mess/Food,High,More than a month,2 to 5,synthetic
"I've been attending college for 3 years now and honestly the experience has been disappointing. The syllabus is outdated, professors lack real-world knowledge, placements are terrible, and the constant pressure of attendance and monday tests leaves no time for self-improvement. I tried to learn coding on the side, but after college hours I'm too exhausted from pointless tasks. The college needs a complete overhaul of its academic system. We are paying lakhs of rupees for this education and deserve better.",Academics,High,More than a month,20+,synthetic
classroom windows broken hain,Infrastructure,High,More than a month,20+,synthetic
"Monday tests are making students lack behind in their day to day task , and not helping them to progress further ",Academics,High,More than a month,20+,real
"No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Other,High,Today,5 to 20,synthetic
As an OHU student I totally depend on the college mess for my meals. The quality of food here is genuinely terrible. Chapati is so thin it tears when you try to pick it up. Dal has no taste  it's literally just hot water with a hint of yellow color. The paneer gravy is oily and watery at the same time somehow. And they charge 60 rupees for this! My mom makes better food at home in 10 rupees. Please either improve the food quality or reduce the price. Students cannot study properly if they're not eating well.,Mess/Food,Medium,More than a month,20+,synthetic
lab systems too old to run modern software,Technical Issues,High,More than a month,5 to 20,synthetic
"Clg mein skills develop karne ka koi platform nahi diya gaya. No hackathons, no workshops, no industry visits. Bas books aur tests.",Academics,High,More than a month,5 to 20,synthetic
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,From Last Month,5 to 20,synthetic
"attendance se graduation rok dete hai, ridiculous",Academics,High,More than a month,20+,synthetic
"Being honest here  the monday MSC tests are absolutely pointless. We are engineering students, not school kids. Every monday we have to mug up something, write a test, and the marks go into our ISA which affects SGPA. This creates unnecessary anxiety and leaves no weekend for actual learning. Companies hire for skills, not for monday test marks. Please scrap this system or at least make it optional. Our mental health matters too.",Academics,Low,From Last Month,20+,synthetic
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,More than a month,20+,synthetic
college portal down hai,Technical Issues,High,More than a month,5 to 20,synthetic
In labs there are many issues of socket students use pen to put their chargers ,Infrastructure,Low,More than a month,20+,real
Some professors teach entirely in Marathi. Students from other states or non-Marathi backgrounds cannot follow anything. English ya Hindi mein padhaana chahiye.,Other,High,Today,20+,synthetic
A group of seniors block certain spots in the canteen and juniors are afraid to sit there. This kind of territorial behavior is a form of ragging.,Ragging,High,More than a month,2 to 5,synthetic
corridor mein smell aata hai,Cleanliness,High,More than a month,20+,synthetic
language barrier hai lectures mein,Other,Medium,More than a month,20+,synthetic
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,Medium,Today,20+,synthetic
100% attendance compulsory kyu hai yaar,Academics,High,From Last Month,5 to 20,synthetic
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Technical Issues,High,More than a month,5 to 20,synthetic
"Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Other,High,From last week,Only me,synthetic
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,Low,More than a month,20+,synthetic
classroom ka AC band hai,Technical Issues,High,More than a month,Only me,synthetic
Water leakage in washroom has created mold on walls. Black patches visible. This is a health hazard  mold causes respiratory problems.,Cleanliness,Low,More than a month,20+,synthetic
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,High,More than a month,20+,synthetic
broken benches in classroom,Infrastructure,Medium,More than a month,5 to 20,synthetic
The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Cleanliness,Medium,More than a month,20+,synthetic
college events paise waste karte hai,Other,High,More than a month,Only me,synthetic
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,Medium,More than a month,2 to 5,synthetic
"Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Technical Issues,High,From Last Month,20+,synthetic
washroom mein soap nahi hai,Cleanliness,High,More than a month,20+,synthetic
Lack of internet in college pc,Technical Issues,Medium,From Last Month,2 to 5,real
projector nahi chal raha lab mein,Technical Issues,High,More than a month,5 to 20,synthetic
"Canteen staff is rude when you ask for extra roti or point out something wrong with the food. We are customers, treat us with respect.",Mess/Food,High,More than a month,20+,synthetic
"No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Other,High,From Last Month,2 to 5,synthetic
sir ne gaali di class mein,Ragging,High,More than a month,2 to 5,synthetic
"The robotics minor course is a complete joke. They said we'll learn robotics but we haven't touched a single hardware component. Just MATLAB on a laptop. No Arduino, no sensors, no robots. Meanwhile they still want 75% attendance. Why should I attend classes that teach me nothing practical? IIT students do actual robotics. Here we are just watching videos and submitting reports. If you can't provide proper resources, don't offer the course. It's misleading.",Academics,High,More than a month,2 to 5,synthetic
outside college area littered,Cleanliness,High,More than a month,2 to 5,synthetic
Professor ek student ka assignment baar baar reject karta hai bina proper reason ke aur publicly embarrass karta hai. Targeted harassment lag raha hai.,Ragging,High,From Last Month,2 to 5,synthetic
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From Last Month,2 to 5,synthetic
The practical lab sessions have no real experiments. We just copy from manual and submit. Where is the actual learning happening?,Academics,High,More than a month,20+,synthetic
No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors. This is a serious inclusion failure.,Infrastructure,High,More than a month,20+,synthetic
The college library doesn't have enough reference books for new elective subjects. We have to rely on internet which isn't always reliable.,Other,Medium,More than a month,20+,synthetic
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,High,More than a month,20+,synthetic
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,High,More than a month,5 to 20,synthetic
lab systems too old to run modern software,Technical Issues,High,More than a month,20+,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,High,More than a month,5 to 20,synthetic
food mein oil bahut zyada hai,Mess/Food,High,From Last Month,5 to 20,synthetic
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,High,More than a month,2 to 5,synthetic
Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Ragging,Medium,From Last Month,Only me,synthetic
"College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Other,High,From last week,20+,synthetic
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Mess/Food,Medium,More than a month,20+,synthetic
The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Cleanliness,Medium,From Last Month,20+,synthetic
faculty discriminates students,Ragging,High,From Last Month,Only me,synthetic
"College canteen menu has no options for students with dietary restrictions  no gluten-free, no jain food options mentioned anywhere.",Other,Medium,From Last Month,Only me,synthetic
classroom windows broken hain,Infrastructure,Medium,From Last Month,2 to 5,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,High,Today,2 to 5,synthetic
Food mein milawat ka doubt hota hai sometimes. Quality itni poor hai ki taste genuinely suspicious lagta hai. Health check-ups karo mess ke food ka.,Mess/Food,High,More than a month,20+,synthetic
food stale rehta hai,Mess/Food,High,More than a month,20+,synthetic
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,High,More than a month,20+,synthetic
socket problem in labs,Infrastructure,Low,More than a month,5 to 20,synthetic
Poor internet,Technical Issues,Medium,Today,20+,real
M-block canteen doesn't accept UPI which is super inconvenient. We are college students  most of us don't carry cash. Please update your payment system bhai.,Mess/Food,Low,More than a month,20+,synthetic
"College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Other,Medium,More than a month,5 to 20,synthetic
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Technical Issues,Low,Today,5 to 20,synthetic
"Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Other,Medium,More than a month,2 to 5,synthetic
Improper management of queue in canteen,Mess/Food,High,More than a month,5 to 20,real
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,Medium,From last week,5 to 20,synthetic
"The quality of the food and food service is not so good as compared to the price. Many students are ohu and some live in pg, also in college the food should be affordable and also the quality should be good",Mess/Food,Medium,More than a month,20+,real
sir ne gaali di class mein,Ragging,High,More than a month,Only me,synthetic
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,High,From last week,2 to 5,synthetic
lab bench dirty rehte hai,Cleanliness,Low,More than a month,2 to 5,synthetic
outside college area littered,Cleanliness,High,More than a month,2 to 5,synthetic
library mein AC nahi hai,Technical Issues,High,More than a month,20+,synthetic
Computer lab booking system is manual  we have to physically go and check availability. An online booking system would save so much time.,Technical Issues,Medium,From last week,20+,synthetic
tiles pe stains hai washroom mein,Cleanliness,Low,From last week,20+,synthetic
wifi ka login system kharab hai,Technical Issues,High,From last week,Only me,synthetic
queue bahut lamba hai,Mess/Food,High,More than a month,20+,synthetic
no placements from this college,Academics,Medium,From Last Month,20+,synthetic
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,Low,From Last Month,Only me,synthetic
Outside the college campus the road is very uneven and not safe. Students walking from the gate to bus stop are at risk especially after dark.,Infrastructure,High,More than a month,5 to 20,synthetic
"Library mein padhai karna ek torture ban gaya hai. Books hai, quiet environment hai, seats hai  sab kuch hai but AC nahi. Aur Mumbai ki garmi mein bina AC ke ek ghante se zyada baithna possible hi nahi. Maine khud dekha hai students paseene se bheege hue padh rahe hai. It's been months and nothing has been done. This is a basic facility. Please fix the AC in the library on priority.",Technical Issues,High,More than a month,5 to 20,synthetic
"attendance se graduation rok dete hai, ridiculous",Academics,High,More than a month,20+,synthetic
Light bulbs in some classrooms are of very low wattage  it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Infrastructure,High,More than a month,20+,synthetic
Honestly mess ka khana khake meri halat kharab ho gayi thi ek baar. Upset stomach for 2 days. College needs to ensure food hygiene standards are met.,Mess/Food,Low,From Last Month,Only me,synthetic
bahar ka area safe nahi hai,Infrastructure,Low,More than a month,5 to 20,synthetic
"Torturing students for attendance and assignments and mid semester examination having no use in future because attending lectures where professors themselves doesn't know what to teach makes no sense, doing assignments without knowing what teacher has taught, giving mid semester examination without knowing what's the syllabus!!! ",Academics,High,More than a month,20+,real
Water purifier near the canteen has greenish deposits inside  algae growth. We are drinking that water. Please clean and service it immediately.,Cleanliness,Medium,From Last Month,20+,synthetic
Misal pav ka pav stale rehta hai. Chawli ki sabji ka smell aata hai. Aur papad toh kabhi milta hi nahi. Is food worth 60 rupees? Absolutely not.,Mess/Food,High,From last week,20+,synthetic
"Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Technical Issues,Medium,More than a month,20+,synthetic
202 AC is not working ,Technical Issues,High,From Last Month,2 to 5,real
parking nahi hai proper,Infrastructure,Medium,More than a month,2 to 5,synthetic
girls bathroom ka door lock kharab hai,Infrastructure,High,More than a month,20+,synthetic
Internet connection in D block labs is non-existent. We have to use our own mobile data for practicals. College should provide proper connectivity.,Technical Issues,Medium,From Last Month,Only me,synthetic
Dustbins on campus are overflowing since morning. No one empties them. By afternoon the garbage is spilling onto the floor. Please increase cleaning frequency.,Cleanliness,Medium,From Last Month,20+,synthetic
Student ID cards take 2+ months to be issued to new students. Many facilities require ID proof  students are stuck without it.,Other,High,From last week,20+,synthetic
"Menu mein variety laao. Roz wahi dal, sabji, chapati  bhai students kuch naya bhi khana chahte hai. Ek week mein variety rotate karo.",Mess/Food,Medium,More than a month,20+,synthetic
"Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily and are breathing dusty air. Allergies and respiratory issues are common complaints among students in these labs. A proper cleaning schedule for labs  including wiping down systems, mopping floors, and dusting  should be implemented at least twice a week. This is a basic requirement.",Cleanliness,High,From Last Month,20+,synthetic
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,Medium,Today,5 to 20,synthetic
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,Low,From Last Month,5 to 20,synthetic
"The college expects innovation in projects but doesn't give us time, tools, or mentorship to actually innovate. Contradiction at its finest.",Academics,High,More than a month,20+,synthetic
seating nahi milti lunch mein,Mess/Food,Low,More than a month,20+,synthetic
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,Medium,More than a month,5 to 20,synthetic
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Medium,From Last Month,20+,synthetic
ID card pe sir ne bully kiya,Ragging,High,From last week,20+,synthetic
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Low,More than a month,Only me,synthetic
The area behind the canteen is where all the garbage accumulates. It smells terrible and attracts insects. Proper waste disposal system chahiye.,Cleanliness,High,More than a month,2 to 5,synthetic
lab bench dirty rehte hai,Cleanliness,Low,More than a month,5 to 20,synthetic
"Regular attendance for assignment submission, sincerity is compared with attendance, they don't allow to work on our self to develop new skills and after all this they want some innovation in our project, it is difficult to manage both and I think this is the reason why the placement rate is decreasing day by day ",Academics,High,More than a month,Only me,real
college bus facility nahi hai,Other,Medium,More than a month,Only me,synthetic
Some professors don't know how to teach,Academics,Medium,More than a month,20+,real
no soap dispenser in washroom,Infrastructure,High,More than a month,2 to 5,synthetic
Senior students verbally abused juniors near the library and threatened them not to use certain chairs 'reserved' for seniors. This entitlement and intimidation needs to stop.,Ragging,High,More than a month,Only me,synthetic
"Monday ko jo sabji thi na  chawli ki  bhai uska smell itna bura tha ki side table waale bhi complain kar rahe the. Phir bhi serve kiya. Is this acceptable? We are paying for decent food, not leftover smelly vegetables. Papad shortage rehti hai, misal ka pav stale rehta hai, aur roz same 2-3 items milte hai. Canteen wale creative honge toh variety laao na. Students bored ho gaye hai same food se.",Mess/Food,Medium,More than a month,20+,synthetic
Ladies washroom doors are not functional as the door locks are defective. ,Infrastructure,High,From Last Month,Only me,real
Not focused on particular subjects.. focuses on random things without giving proper weightage to each and every subject. ,Academics,High,More than a month,20+,real
college mein transport nahi hai,Other,High,From Last Month,2 to 5,synthetic
language barrier hai lectures mein,Other,High,More than a month,Only me,synthetic
"The pc's in the lab m411 does not work, it does not allow me to login my id",Technical Issues,Medium,More than a month,20+,real
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,Medium,More than a month,20+,synthetic
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,20+,synthetic
Staircase railing in B block is loose. It wobbles when you hold it. Safety hazard hai  koi gir sakta hai. Get it fixed before an accident happens.,Infrastructure,Medium,From last week,20+,synthetic
"No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Other,High,More than a month,20+,synthetic
202 classroom ka AC 2 mahine se band hai. Summer mein bina AC ke ek hour bhi baithna mushkil hai. Please get it repaired already.,Technical Issues,High,More than a month,2 to 5,synthetic
"I am writing this complaint on behalf of many students who are concerned about the hygiene conditions in the college washrooms, particularly in blocks C and D. The washrooms are cleaned only once in the morning. By 11am they are in a deplorable condition  floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. The administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily.",Cleanliness,High,More than a month,5 to 20,synthetic
printer out of order hai,Technical Issues,High,From last week,20+,synthetic
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,Medium,More than a month,20+,synthetic
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,High,From last week,20+,synthetic
Poor quality & highly price food ,Mess/Food,High,More than a month,5 to 20,real
Professor ek student ka assignment baar baar reject karta hai bina proper reason ke aur publicly embarrass karta hai. Targeted harassment lag raha hai.,Ragging,High,More than a month,Only me,synthetic
